id_veiculo,servico,timestamp_gps,posicao_veiculo_geo,status_viagem
B51612,917,2023-02-14 21:48:10,POINT(-43.38373 -22.88303),middle
B51612,917,2023-02-14 21:48:10,POINT(-43.38373 -22.88303),middle
B51612,917,2023-02-14 21:48:10,POINT(-43.38373 -22.88303),middle
B51612,917,2023-02-14 21:48:10,POINT(-43.38373 -22.88303),middle
B51612,917,2023-02-14 21:48:40,POINT(-43.382 -22.88136),middle
B51612,917,2023-02-14 21:48:40,POINT(-43.382 -22.88136),middle
B51612,917,2023-02-14 21:48:40,POINT(-43.382 -22.88136),middle
B51612,917,2023-02-14 21:48:40,POINT(-43.382 -22.88136),middle
B51612,917,2023-02-14 21:48:40,POINT(-43.382 -22.88136),middle
B51612,917,2023-02-14 21:49:10,POINT(-43.3808 -22.87951),middle
B51612,917,2023-02-14 21:49:10,POINT(-43.3808 -22.87951),middle
B51612,917,2023-02-14 21:49:10,POINT(-43.3808 -22.87951),middle
B51612,917,2023-02-14 21:49:10,POINT(-43.3808 -22.87951),middle
B51612,917,2023-02-14 21:49:10,POINT(-43.3808 -22.87951),middle
B51612,917,2023-02-14 21:49:40,POINT(-43.37996 -22.87885),middle
B51612,917,2023-02-14 21:49:40,POINT(-43.37996 -22.87885),middle
B51612,917,2023-02-14 21:49:40,POINT(-43.37996 -22.87885),middle
B51612,917,2023-02-14 21:49:40,POINT(-43.37996 -22.87885),middle
B51612,917,2023-02-14 21:49:40,POINT(-43.37996 -22.87885),middle
B51612,917,2023-02-14 21:50:11,POINT(-43.37832 -22.87757),middle
B51612,917,2023-02-14 21:50:11,POINT(-43.37832 -22.87757),middle
B51612,917,2023-02-14 21:50:11,POINT(-43.37832 -22.87757),middle
B51612,917,2023-02-14 21:50:11,POINT(-43.37832 -22.87757),middle
B51612,917,2023-02-14 21:50:11,POINT(-43.37832 -22.87757),middle
B51612,917,2023-02-14 21:50:41,POINT(-43.37463 -22.87665),middle
B51612,917,2023-02-14 21:50:41,POINT(-43.37463 -22.87665),middle
B51612,917,2023-02-14 21:50:41,POINT(-43.37463 -22.87665),middle
B51612,917,2023-02-14 21:50:41,POINT(-43.37463 -22.87665),middle
B51612,917,2023-02-14 21:50:41,POINT(-43.37463 -22.87665),middle
B51612,917,2023-02-14 21:51:11,POINT(-43.37308 -22.87782),middle
B51612,917,2023-02-14 21:51:11,POINT(-43.37308 -22.87782),middle
B51612,917,2023-02-14 21:51:11,POINT(-43.37308 -22.87782),middle
B51612,917,2023-02-14 21:51:11,POINT(-43.37308 -22.87782),middle
B51612,917,2023-02-14 21:51:11,POINT(-43.37308 -22.87782),middle
B51612,917,2023-02-14 21:51:40,POINT(-43.37295 -22.87763),middle
B51612,917,2023-02-14 21:51:40,POINT(-43.37295 -22.87763),middle
B51612,917,2023-02-14 21:51:40,POINT(-43.37295 -22.87763),middle
B51612,917,2023-02-14 21:51:40,POINT(-43.37295 -22.87763),middle
B51612,917,2023-02-14 21:51:40,POINT(-43.37295 -22.87763),middle
B51612,917,2023-02-14 21:52:10,POINT(-43.37087 -22.87686),middle
B51612,917,2023-02-14 21:52:10,POINT(-43.37087 -22.87686),middle
B51612,917,2023-02-14 21:52:10,POINT(-43.37087 -22.87686),middle
B51612,917,2023-02-14 21:52:10,POINT(-43.37087 -22.87686),middle
B51612,917,2023-02-14 21:52:10,POINT(-43.37087 -22.87686),middle
B51612,917,2023-02-14 21:52:40,POINT(-43.37017 -22.87701),middle
B51612,917,2023-02-14 21:52:40,POINT(-43.37017 -22.87701),middle
B51612,917,2023-02-14 21:52:40,POINT(-43.37017 -22.87701),middle
B51612,917,2023-02-14 21:52:40,POINT(-43.37017 -22.87701),middle
B51612,917,2023-02-14 21:52:40,POINT(-43.37017 -22.87701),middle
B51612,917,2023-02-14 21:53:10,POINT(-43.36945 -22.87735),middle
B51612,917,2023-02-14 21:53:10,POINT(-43.36945 -22.87735),middle
B51612,917,2023-02-14 21:53:10,POINT(-43.36945 -22.87735),middle
B51612,917,2023-02-14 21:53:10,POINT(-43.36945 -22.87735),middle
B51612,917,2023-02-14 21:53:10,POINT(-43.36945 -22.87735),middle
B51612,917,2023-02-14 21:53:40,POINT(-43.36728 -22.87724),middle
B51612,917,2023-02-14 21:53:40,POINT(-43.36728 -22.87724),middle
B51612,917,2023-02-14 21:53:40,POINT(-43.36728 -22.87724),middle
B51612,917,2023-02-14 21:53:40,POINT(-43.36728 -22.87724),middle
B51612,917,2023-02-14 21:53:40,POINT(-43.36728 -22.87724),middle
B51612,917,2023-02-14 21:54:10,POINT(-43.36594 -22.87742),middle
B51612,917,2023-02-14 21:54:10,POINT(-43.36594 -22.87742),middle
B51612,917,2023-02-14 21:54:10,POINT(-43.36594 -22.87742),middle
B51612,917,2023-02-14 21:54:10,POINT(-43.36594 -22.87742),middle
B51612,917,2023-02-14 21:54:10,POINT(-43.36594 -22.87742),middle
B51612,917,2023-02-14 21:54:40,POINT(-43.36395 -22.87765),middle
B51612,917,2023-02-14 21:54:40,POINT(-43.36395 -22.87765),middle
B51612,917,2023-02-14 21:54:40,POINT(-43.36395 -22.87765),middle
B51612,917,2023-02-14 21:54:40,POINT(-43.36395 -22.87765),middle
B51612,917,2023-02-14 21:54:40,POINT(-43.36395 -22.87765),middle
B51612,917,2023-02-14 21:55:10,POINT(-43.36309 -22.87777),middle
B51612,917,2023-02-14 21:55:10,POINT(-43.36309 -22.87777),middle
B51612,917,2023-02-14 21:55:10,POINT(-43.36309 -22.87777),middle
B51612,917,2023-02-14 21:55:10,POINT(-43.36309 -22.87777),middle
B51612,917,2023-02-14 21:55:10,POINT(-43.36309 -22.87777),middle
B51612,917,2023-02-14 21:55:40,POINT(-43.36186 -22.87798),middle
B51612,917,2023-02-14 21:55:40,POINT(-43.36186 -22.87798),middle
B51612,917,2023-02-14 21:55:40,POINT(-43.36186 -22.87798),middle
B51612,917,2023-02-14 21:55:40,POINT(-43.36186 -22.87798),middle
B51612,917,2023-02-14 21:55:40,POINT(-43.36186 -22.87798),middle
B51612,917,2023-02-14 21:56:10,POINT(-43.36154 -22.87802),middle
B51612,917,2023-02-14 21:56:10,POINT(-43.36154 -22.87802),middle
B51612,917,2023-02-14 21:56:10,POINT(-43.36154 -22.87802),middle
B51612,917,2023-02-14 21:56:10,POINT(-43.36154 -22.87802),middle
B51612,917,2023-02-14 21:56:10,POINT(-43.36154 -22.87802),middle
B51612,917,2023-02-14 21:56:40,POINT(-43.36063 -22.87808),middle
B51612,917,2023-02-14 21:56:40,POINT(-43.36063 -22.87808),middle
B51612,917,2023-02-14 21:56:40,POINT(-43.36063 -22.87808),middle
B51612,917,2023-02-14 21:56:40,POINT(-43.36063 -22.87808),middle
B51612,917,2023-02-14 21:56:40,POINT(-43.36063 -22.87808),middle
B51612,917,2023-02-14 21:57:10,POINT(-43.35854 -22.8785),middle
B51612,917,2023-02-14 21:57:10,POINT(-43.35854 -22.8785),middle
B51612,917,2023-02-14 21:57:10,POINT(-43.35854 -22.8785),middle
B51612,917,2023-02-14 21:57:10,POINT(-43.35854 -22.8785),middle
B51612,917,2023-02-14 21:57:10,POINT(-43.35854 -22.8785),middle
B51612,917,2023-02-14 21:57:40,POINT(-43.35828 -22.87959),middle
B51612,917,2023-02-14 21:57:40,POINT(-43.35828 -22.87959),middle
B51612,917,2023-02-14 21:57:40,POINT(-43.35828 -22.87959),middle
B51612,917,2023-02-14 21:57:40,POINT(-43.35828 -22.87959),middle
B51612,917,2023-02-14 21:57:40,POINT(-43.35828 -22.87959),middle
B51612,917,2023-02-14 21:58:10,POINT(-43.35899 -22.88181),middle
B51612,917,2023-02-14 21:58:10,POINT(-43.35899 -22.88181),middle
B51612,917,2023-02-14 21:58:10,POINT(-43.35899 -22.88181),middle
B51612,917,2023-02-14 21:58:10,POINT(-43.35899 -22.88181),middle
B51612,917,2023-02-14 21:58:10,POINT(-43.35899 -22.88181),middle
B51612,917,2023-02-14 21:58:40,POINT(-43.35839 -22.88242),middle
B51612,917,2023-02-14 21:58:40,POINT(-43.35839 -22.88242),middle
